UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency,Brand
68,Induction,4,10,1,3,39,0,Samsung
69,Microwave,4,4,1,4,9,1,Samsung
70,Camera,3,6,0,0,53,0,Samsung
71,Microwave,7,4,1,1,12,1,GE Appliances
72,Security System,1,4,1,0,54,1,Top Notch Infotronix
73,Vacuum Cleaner,4,7,0,1,29,0,Black+Decker
74,Induction,1,9,0,3,10,0,Kenmore
75,Dishwasher,1,5,1,2,27,0,Electrolux
76,Microwave,5,8,0,2,19,0,Samsung
77,Smart Speaker,5,1,0,1,13,0,JBL
78,Security System,7,2,1,4,42,1,Hikvision India
79,Dishwasher,5,5,0,0,37,0,Bosch
80,Washing Machine,8,0,0,3,32,0,Whirlpool
81,Security System,1,3,1,4,15,1,Matrix Comsec
82,Security System,1,5,0,2,21,0,Hikvision India
83,Fan,1,0,1,4,3,1,Bajaj Electricals
84,Fan,2,3,0,0,8,0,Bajaj Electricals
85,Camera,4,5,0,2,6,0,GoPro
86,Fan,5,6,1,1,29,1,Usha
87,Fridge,1,9,0,3,19,0,Bosch
88,Camera,8,6,0,3,17,0,Sony
89,Washing Machine,7,4,0,2,10,0,IFB
90,Fridge,2,9,0,1,33,0,Whirlpool
91,Induction,1,8,0,0,13,0,Whirlpool
92,Dishwasher,1,2,0,3,27,0,GE Appliances
93,Induction,1,1,1,2,42,0,Kenmore
94,Security System,1,7,0,3,12,0,CP Plus
95,Washing Machine,4,6,0,1,2,0,Voltas Beko
96,Camera,2,8,1,0,10,1,Sony
97,Air Conditioner,3,7,1,1,21,1,Fujitsu
98,Vacuum Cleaner,8,6,1,4,23,1,Eureka
99,Fridge,6,10,0,1,1,0,Haier
100,Lights,8,5,1,1,33,1,Bajaj Electricals
101,Thermostat,1,1,1,3,52,0,Sensi
102,Security System,3,8,0,1,26,0,CP Plus
103,Air Conditioner,5,3,1,2,15,1,Daikin
104,Security System,1,8,0,3,22,0,Dahua Technology India
106,Camera,5,7,0,4,1,0,Fujifilm
107,Dishwasher,5,6,0,2,59,0,Maytag
108,Fridge,3,5,0,1,26,0,Siemens
109,Thermostat,4,4,1,4,21,1,Johnson Controls
110,Induction,3,4,0,2,41,0,Electrolux
112,Smart Speaker,3,8,0,0,39,0,Sonos
113,Camera,2,7,1,1,16,0,Fujifilm
114,Air Conditioner,1,2,0,4,32,0,Mitsubishi Electric
115,Dishwasher,8,5,0,0,16,1,KitchenAid
116,Camera,5,8,0,1,13,0,Nikon
117,Dishwasher,6,5,1,4,42,1,Whirlpool
118,Smart Speaker,3,5,1,4,32,0,Ultimate Ears
119,Air Conditioner,3,8,1,4,50,0,Gree
120,Lights,2,7,0,4,41,0,Wipro Lighting
121,Dishwasher,1,4,0,3,44,0,Miele
122,Camera,2,9,1,4,24,0,Fujifilm
123,Washing Machine,6,2,0,3,13,0,Bosch
124,Fan,5,10,1,3,11,1,Anchor Electricals
125,Induction,4,1,0,0,15,1,Electrolux
126,Air Conditioner,4,0,1,1,10,1,Samsung
127,Washing Machine,7,9,1,3,42,0,Bosch
128,Fan,1,3,0,2,41,0,Havells
129,Thermostat,2,7,1,3,57,0,Ecobee
130,Smart Speaker,3,8,0,2,57,0,Sony
131,Security System,6,9,0,0,3,0,Godrej Security Solutions
132,Lights,8,10,0,2,55,0,Eveready
133,Smart Speaker,2,3,1,0,16,1,Bose
134,Vacuum Cleaner,7,7,1,0,44,1,Electrolux
135,Induction,7,1,1,0,17,1,GE Appliances
136,Thermostat,2,4,0,2,25,0,Tado
137,Thermostat,3,8,0,2,30,0,Nest Labs
138,Vacuum Cleaner,3,4,1,0,47,1,Hoover
139,Vacuum Cleaner,8,6,0,0,57,0,Electrolux
140,Fridge,2,5,0,1,35,0,LG Electronics
141,Dishwasher,6,6,1,0,37,1,LG Electronics
142,Fan,3,10,1,4,13,1,Bajaj Electricals
143,Lights,6,1,0,1,24,0,Surya Roshni
144,Camera,3,6,0,1,38,0,Canon
145,Thermostat,5,9,1,1,26,1,Nest Labs
146,Security System,7,5,1,4,58,1,CP Plus
147,Vacuum Cleaner,6,1,0,1,9,0,Shark
148,Camera,7,6,0,1,19,0,Olympus
149,Thermostat,1,3,0,2,28,0,Johnson Controls
150,Vacuum Cleaner,6,2,1,2,7,1,Kenmore
151,Vacuum Cleaner,1,9,0,0,45,0,Dyson
152,Thermostat,3,5,0,0,22,0,Schneider Electric
153,Fan,4,9,0,3,30,0,Superfan
154,Washing Machine,3,8,0,4,37,0,IFB
155,Security System,4,7,0,2,16,0,Godrej Security Solutions
156,Air Conditioner,8,0,0,0,36,0,LG Electronics
157,Microwave,1,4,1,4,5,1,GE Appliances
158,Air Conditioner,5,2,1,1,29,1,Fujitsu
159,Security System,3,9,1,4,52,0,Hikvision India
160,Air Conditioner,1,2,0,2,51,0,Haier
161,Camera,1,3,1,3,23,1,Fujifilm
162,Camera,8,5,0,2,6,0,Leica
163,Fridge,7,3,0,0,36,0,Hitachi
164,Induction,7,2,0,0,57,0,GE Appliances
165,Camera,8,6,0,4,33,0,GoPro
166,Security System,2,1,0,2,49,0,eSSL Security
167,Security System,3,1,1,0,41,1,Godrej Security Solutions
168,Thermostat,5,4,1,1,16,1,Siemens
169,Security System,4,7,1,1,55,0,Top Notch Infotronix
170,Smart Speaker,3,6,0,3,34,0,Ultimate Ears
171,Induction,3,4,1,4,43,1,Fisher & Paykel
172,Washing Machine,5,6,0,0,26,0,Haier
173,Smart Speaker,5,4,1,3,37,1,Sony
174,Smart Speaker,1,9,1,1,13,0,Google Nest
175,Induction,4,1,1,3,52,1,Frigidaire
176,Washing Machine,5,7,1,3,17,1,IFB
177,Washing Machine,5,9,1,0,32,1,Panasonic
178,Fan,2,8,1,0,32,1,Usha
179,Smart Speaker,6,2,0,0,28,1,Apple HomePod
181,Washing Machine,3,7,0,3,25,0,Panasonic
182,Microwave,6,1,0,3,47,0,GE Appliances
183,Thermostat,5,8,0,4,22,0,Emerson
184,Microwave,2,7,1,1,27,0,IFB
185,Washing Machine,6,7,0,2,44,0,Godrej Appliances
186,Fan,5,1,0,1,38,0,Superfan
187,Microwave,6,7,0,4,20,0,Sharp
188,Induction,6,7,0,3,45,0,Electrolux
189,Fridge,5,8,0,3,50,0,Haier
190,Microwave,4,1,0,0,24,1,Haier
191,Lights,1,0,0,0,47,0,Bajaj Electricals
192,Induction,2,4,0,3,47,0,Electrolux
193,Lights,3,2,0,3,8,0,Wipro Lighting
194,Fridge,5,6,1,0,51,1,Panasonic
195,Washing Machine,4,9,0,0,55,0,Siemens
196,Vacuum Cleaner,2,4,0,1,14,0,Eureka
198,Camera,4,0,1,3,14,1,Olympus
199,Air Conditioner,2,2,0,4,5,0,Panasonic
200,Camera,6,0,0,1,47,0,Canon
202,Air Conditioner,5,9,1,2,15,1,Carrier
203,Dishwasher,8,1,0,2,56,0,LG Electronics
204,Dishwasher,2,6,1,0,36,0,Electrolux
205,Lights,4,5,1,2,33,1,Wipro Lighting
206,Air Conditioner,1,9,1,4,17,0,LG Electronics
207,Lights,5,1,1,0,57,1,Osram
208,Fridge,4,2,1,0,20,1,Bosch
209,Thermostat,3,0,0,2,1,0,Siemens
210,Washing Machine,4,4,0,0,16,1,Panasonic
211,Security System,7,3,1,1,45,1,Godrej Security Solutions
212,Induction,2,9,1,1,18,0,Electrolux
214,Vacuum Cleaner,7,6,1,4,23,1,Dyson
215,Lights,5,5,0,0,18,0,Osram
216,Security System,7,1,1,3,49,1,Godrej Security Solutions
217,Microwave,5,5,1,2,58,1,GE Appliances
218,Thermostat,7,10,0,0,9,0,Sensi
219,Vacuum Cleaner,4,8,0,2,46,0,Bissell
220,Thermostat,6,9,0,2,53,0,Schneider Electric
221,Fridge,7,8,0,4,30,0,Voltas Beko
222,Induction,5,1,1,3,13,1,Electrolux
223,Security System,2,2,1,0,52,1,Zicom
224,Smart Speaker,2,0,1,2,52,0,Apple HomePod
225,Thermostat,2,3,1,2,31,1,Honeywell
226,Lights,2,1,1,0,46,1,Crompton
227,Thermostat,3,5,1,2,43,0,Emerson
228,Fan,5,7,1,2,13,1,Khaitan Electricals
229,Dishwasher,5,9,1,2,32,1,Fisher & Paykel
230,Camera,4,8,1,1,17,1,Sony
231,Vacuum Cleaner,5,9,0,1,3,0,Hoover
232,Washing Machine,1,1,1,3,1,1,Haier
233,Washing Machine,1,0,0,4,53,0,Panasonic
234,Thermostat,2,7,0,0,5,0,Lux Products Corporation
235,Fan,4,3,0,4,32,0,Khaitan Electricals
236,Security System,2,3,0,4,25,0,Zicom
237,Thermostat,2,3,1,1,45,0,Honeywell
238,Air Conditioner,3,3,0,3,56,0,Trane
239,Air Conditioner,7,5,0,4,5,0,LG Electronics
241,Dishwasher,5,5,0,2,23,0,Miele
242,Induction,5,7,1,0,12,1,Kenmore
243,Dishwasher,6,4,1,3,34,1,Whirlpool
244,Thermostat,7,3,1,0,23,1,Johnson Controls
246,Vacuum Cleaner,1,4,0,4,49,0,Hoover
247,Thermostat,7,7,1,4,5,1,Siemens
248,Fan,4,8,0,0,44,0,Bajaj Electricals
249,Dishwasher,5,7,0,1,47,0,GE Appliances
250,Camera,5,2,1,2,28,1,Fujifilm
251,Microwave,5,6,0,2,6,0,Haier
252,Thermostat,7,6,1,4,13,1,Johnson Controls
253,Induction,8,5,0,4,43,0,Miele
254,Fan,6,6,0,3,30,0,Gorilla
255,Smart Speaker,2,5,0,0,26,0,JBL
256,Vacuum Cleaner,7,6,0,4,17,0,Electrolux
257,Dishwasher,1,7,1,1,9,0,GE Appliances
258,Induction,2,1,1,0,57,1,GE Appliances
259,Dishwasher,7,8,0,3,16,0,Maytag
260,Fridge,2,1,0,2,49,0,Bosch
261,Dishwasher,2,1,0,3,52,0,Whirlpool
262,Induction,1,10,0,0,56,0,Kenmore
263,Induction,7,10,1,2,18,1,Kenmore
264,Fridge,4,1,0,1,13,0,Whirlpool
265,Smart Speaker,5,4,0,2,29,0,Apple HomePod
266,Security System,2,2,0,2,43,0,Zicom
267,Lights,6,5,1,1,45,1,Havells
268,Thermostat,6,8,0,4,24,0,Schneider Electric
269,Washing Machine,3,10,1,4,58,0,Godrej Appliances
270,Washing Machine,3,6,1,2,45,0,Samsung
271,Microwave,2,4,0,2,44,0,IFB
272,Security System,8,6,0,3,46,0,Godrej Security Solutions
273,Vacuum Cleaner,5,3,0,4,13,0,Kenmore
274,Security System,7,9,1,1,25,1,Godrej Security Solutions
275,Induction,3,9,1,2,41,0,Samsung
276,Security System,6,6,0,2,46,0,Top Notch Infotronix
277,Washing Machine,6,3,1,3,1,1,Godrej Appliances
278,Camera,6,3,0,3,9,0,GoPro
279,Vacuum Cleaner,8,0,0,3,4,0,Miele
280,Air Conditioner,3,8,0,0,28,0,Samsung
281,Camera,1,5,0,1,12,0,Panasonic
282,Air Conditioner,5,3,0,0,24,1,Carrier
283,Smart Speaker,6,5,0,2,46,0,Sony
284,Vacuum Cleaner,5,8,1,3,9,1,Dyson
285,Camera,2,1,1,3,35,1,Canon
286,Air Conditioner,4,9,1,3,38,0,Haier
287,Washing Machine,3,9,0,4,35,0,Panasonic
288,Security System,4,9,0,1,33,0,Matrix Comsec
289,Dishwasher,5,4,0,0,58,0,Miele
290,Vacuum Cleaner,6,2,1,1,54,1,Hoover
291,Induction,2,4,0,3,53,0,GE Appliances
292,Security System,3,3,1,2,35,1,Zicom
293,Lights,2,2,0,4,46,0,Bajaj Electricals
294,Dishwasher,2,6,1,1,20,0,Bosch
295,Lights,6,5,0,2,2,0,Surya Roshni
296,Induction,7,9,0,3,44,0,Miele
297,Vacuum Cleaner,3,0,1,3,26,1,Black+Decker
298,Induction,6,6,1,3,42,0,KitchenAid
299,Fridge,7,8,1,3,13,1,Haier
300,Dishwasher,7,8,0,4,30,0,Maytag
301,Vacuum Cleaner,2,9,1,4,52,0,Shark
302,Lights,8,7,1,1,32,1,Osram
303,Dishwasher,3,9,0,3,36,0,Bosch
304,Fridge,3,3,0,4,19,0,Voltas Beko
305,Lights,1,5,1,2,22,0,Eveready
306,Fridge,4,0,0,4,1,0,Bosch
307,Smart Speaker,1,0,1,4,57,0,Bose
308,Microwave,2,2,1,1,11,1,IFB
309,Vacuum Cleaner,3,1,1,4,26,1,Black+Decker
310,Washing Machine,7,3,0,2,48,0,Haier
311,Lights,7,2,1,3,19,1,Philips
312,Smart Speaker,3,0,1,0,19,1,Amazon Echo
313,Vacuum Cleaner,7,9,0,1,12,0,Kenmore
314,Lights,7,0,1,2,3,1,Eveready
315,Air Conditioner,6,7,1,1,55,0,Haier
316,Lights,1,2,1,3,56,0,Philips
317,Camera,6,9,0,4,18,0,Pentax
318,Security System,8,9,1,4,49,0,Godrej Security Solutions
319,Fan,6,7,0,2,5,0,Havells
320,Washing Machine,3,7,0,3,48,0,LG Electronics
321,Smart Speaker,4,0,1,0,24,1,Sonos
322,Washing Machine,5,10,1,0,14,1,Whirlpool
323,Lights,4,9,0,4,51,0,Surya Roshni
324,Lights,1,9,1,3,38,0,Philips
325,Microwave,3,7,1,3,3,0,LG Electronics
326,Fan,6,4,0,2,6,0,Khaitan Electricals
327,Vacuum Cleaner,7,9,1,0,12,1,Hoover
328,Washing Machine,1,3,1,2,52,0,LG Electronics
329,Air Conditioner,8,6,0,1,11,0,Daikin
330,Induction,3,1,1,3,39,1,Bosch
331,Camera,5,9,0,0,59,0,Leica
332,Washing Machine,6,1,0,2,26,0,Voltas Beko
333,Thermostat,7,2,1,4,1,1,Siemens
334,Air Conditioner,8,6,0,1,16,0,Fujitsu
335,Induction,3,8,1,2,48,0,Fisher & Paykel
336,Washing Machine,7,6,1,4,49,0,Panasonic
337,Lights,1,2,0,0,47,0,Havells
338,Security System,6,0,0,0,53,0,Hikvision India
339,Induction,6,8,0,1,9,0,Kenmore
340,Dishwasher,5,10,0,4,5,0,Miele
341,Camera,2,8,0,3,52,0,Canon
342,Lights,7,5,0,0,8,1,Crompton
343,Security System,1,9,1,3,21,0,CP Plus
344,Air Conditioner,1,4,1,3,33,1,LG Electronics
345,Air Conditioner,6,5,0,2,39,0,Trane
346,Vacuum Cleaner,4,5,1,2,43,1,Black+Decker
347,Microwave,7,5,0,0,20,1,Haier
348,Camera,3,8,0,3,58,0,Panasonic
349,Fan,1,5,1,2,53,0,Crompton Greaves
350,Induction,7,3,1,4,45,1,Whirlpool
351,Microwave,4,3,0,4,22,0,Bosch
352,Fan,2,0,0,4,13,0,Havells
353,Fridge,6,6,0,4,39,0,Bosch
354,Washing Machine,4,2,1,3,11,1,Whirlpool
355,Air Conditioner,5,2,0,4,18,0,Trane
356,Vacuum Cleaner,4,7,0,3,30,0,Black+Decker
357,Induction,7,7,1,0,33,1,Whirlpool
358,Vacuum Cleaner,7,8,1,0,44,1,Hoover
359,Dishwasher,6,5,1,4,3,1,Fisher & Paykel
360,Lights,1,9,0,4,58,0,Wipro Lighting
361,Fan,7,9,0,4,1,0,Gorilla
362,Camera,5,8,1,0,36,1,Nikon
363,Fridge,6,6,0,2,6,0,Samsung
364,Washing Machine,3,3,0,0,37,0,Samsung
365,Smart Speaker,7,10,1,4,29,1,Harman Kardon
366,Lights,6,3,1,2,11,1,Philips
367,Fan,1,2,0,2,52,0,Usha
368,Dishwasher,3,4,1,1,55,1,LG Electronics
369,Vacuum Cleaner,7,1,1,3,13,1,Kenmore
370,Induction,1,10,0,4,11,0,Fisher & Paykel
371,Smart Speaker,8,6,0,3,59,0,Ultimate Ears
372,Security System,5,6,0,1,38,0,Dahua Technology India
373,Induction,5,7,0,3,51,0,KitchenAid
374,Camera,2,5,0,4,25,0,Samsung
375,Dishwasher,2,0,0,1,15,0,Miele
376,Induction,8,6,1,3,53,0,Kenmore
377,Vacuum Cleaner,3,7,1,0,13,1,Kenmore
378,Fridge,6,4,1,2,42,1,Godrej Appliances
379,Air Conditioner,3,8,0,1,33,0,Gree
380,Air Conditioner,1,2,0,0,13,0,Samsung
382,Induction,4,2,0,2,53,0,Bosch
383,Microwave,8,4,0,1,58,0,Panasonic
384,Air Conditioner,3,8,1,2,24,1,Samsung
385,Induction,3,8,0,1,20,0,Bosch
386,Dishwasher,3,4,1,1,44,1,GE Appliances
387,Lights,4,6,0,3,17,0,Philips
388,Security System,4,7,1,2,59,0,Hikvision India
389,Security System,7,2,1,2,50,1,eSSL Security
390,Vacuum Cleaner,4,2,1,0,24,1,Eureka
391,Dishwasher,4,10,1,4,26,1,Electrolux
392,Microwave,1,6,1,0,40,0,Samsung
393,Microwave,8,10,1,3,32,1,LG Electronics
394,Vacuum Cleaner,2,3,1,1,29,1,Black+Decker
395,Camera,1,7,0,3,14,0,Samsung
396,Induction,5,2,0,3,37,0,Fisher & Paykel
397,Thermostat,5,3,1,0,22,1,Sensi
398,Microwave,3,5,0,1,34,0,Haier
399,Air Conditioner,3,3,0,4,27,0,Carrier
400,Fridge,6,2,1,3,28,1,Haier
401,Lights,2,3,0,4,57,0,Crompton
402,Security System,7,0,1,1,22,1,Dahua Technology India
403,Air Conditioner,5,7,0,1,57,0,Trane
404,Microwave,3,5,1,0,43,1,LG Electronics
405,Microwave,4,1,0,2,58,0,Samsung
406,Dishwasher,2,2,1,0,3,1,Miele
407,Dishwasher,6,1,0,4,22,0,LG Electronics
408,Smart Speaker,4,6,0,0,58,0,JBL
409,Security System,3,1,0,1,48,0,Top Notch Infotronix
410,Vacuum Cleaner,5,8,1,3,21,1,Bissell
411,Induction,8,0,1,2,16,1,Miele
412,Microwave,4,3,0,1,9,0,Bosch
413,Dishwasher,7,9,0,3,13,0,LG Electronics
414,Induction,3,7,1,4,10,1,KitchenAid
415,Fan,1,1,0,4,49,0,Usha
416,Washing Machine,2,8,0,4,57,0,Panasonic
417,Thermostat,3,5,1,0,21,1,Johnson Controls
418,Fan,2,8,1,4,49,0,Crompton Greaves
420,Dishwasher,7,7,1,0,40,1,LG Electronics
421,Fan,7,10,0,3,7,0,Khaitan Electricals
422,Fridge,6,2,0,1,46,0,Siemens
423,Fan,1,6,1,2,22,0,Anchor Electricals
424,Microwave,1,5,0,4,18,0,Sharp
425,Washing Machine,1,0,1,4,21,1,LG Electronics
426,Thermostat,6,0,1,4,51,1,Nest Labs
427,Camera,7,1,0,0,50,0,Sony
428,Washing Machine,4,7,1,0,14,1,Panasonic
429,Camera,1,6,0,0,10,0,Olympus
430,Vacuum Cleaner,4,6,1,2,33,1,Black+Decker
431,Washing Machine,3,0,0,1,9,0,Godrej Appliances
432,Air Conditioner,3,5,1,4,18,1,Mitsubishi Electric
433,Air Conditioner,5,9,0,3,13,0,Gree
434,Thermostat,6,4,0,4,59,0,Schneider Electric
435,Fan,1,6,1,4,17,0,Bajaj Electricals
437,Dishwasher,8,8,0,4,25,0,LG Electronics
438,Induction,2,5,0,1,54,0,KitchenAid
439,Induction,1,9,0,3,16,0,Kenmore
440,Air Conditioner,2,4,0,0,24,0,Panasonic
442,Air Conditioner,3,2,1,4,11,1,Fujitsu
443,Thermostat,6,3,1,3,23,1,Honeywell
444,Smart Speaker,3,1,1,4,41,1,Google Nest
445,Camera,4,8,1,3,39,0,GoPro
446,Fridge,5,4,0,2,22,0,Siemens
447,Fridge,4,2,0,3,33,0,Samsung
448,Air Conditioner,7,2,1,0,41,1,Daikin
449,Thermostat,7,9,0,0,42,0,Ecobee
451,Vacuum Cleaner,6,6,0,3,53,0,Black+Decker
452,Vacuum Cleaner,4,6,0,1,18,0,Bissell
453,Dishwasher,8,5,1,3,14,1,LG Electronics
454,Air Conditioner,4,4,0,0,28,1,LG Electronics
455,Fridge,8,9,1,2,11,1,Voltas Beko
456,Smart Speaker,6,1,1,0,24,1,Sony
457,Dishwasher,2,4,1,1,36,0,LG Electronics
458,Microwave,4,4,0,3,19,0,IFB
459,Camera,8,5,0,2,13,0,GoPro
460,Vacuum Cleaner,7,5,1,0,33,1,Eureka
461,Lights,1,5,0,2,53,0,Eveready
462,Dishwasher,6,1,1,4,19,1,Whirlpool
463,Dishwasher,3,5,1,0,47,1,Electrolux
465,Dishwasher,3,2,1,2,32,1,Whirlpool
466,Washing Machine,2,1,0,3,15,0,Samsung
467,Microwave,7,8,0,3,57,0,Panasonic
468,Lights,3,4,0,3,11,0,Wipro Lighting
469,Smart Speaker,7,6,1,4,23,1,Apple HomePod
471,Camera,3,7,0,1,5,0,GoPro
472,Fridge,2,5,0,0,56,0,Haier
473,Fridge,2,4,1,0,22,1,Whirlpool
474,Dishwasher,1,4,0,2,42,0,Samsung
475,Induction,2,6,0,4,18,0,Whirlpool
476,Smart Speaker,5,5,1,0,7,1,JBL
477,Camera,2,9,1,4,33,0,GoPro
478,Camera,3,9,1,2,3,1,Canon
479,Fridge,3,2,0,3,28,0,Haier
480,Microwave,7,1,1,2,1,1,Haier
481,Microwave,7,6,1,1,49,0,Panasonic
482,Camera,4,3,1,3,47,1,Leica
483,Induction,3,0,1,3,37,1,Whirlpool
484,Vacuum Cleaner,1,9,1,3,22,0,Shark
485,Air Conditioner,8,2,1,2,48,1,Haier
486,Vacuum Cleaner,1,9,1,1,44,0,Black+Decker
487,Camera,2,7,0,4,19,0,Pentax
488,Dishwasher,3,8,1,2,14,0,Bosch
489,Air Conditioner,3,2,0,0,3,1,Carrier
490,Air Conditioner,1,2,0,0,19,0,Carrier
491,Camera,6,5,1,2,33,1,Fujifilm
492,Dishwasher,1,2,0,4,21,0,Electrolux
493,Smart Speaker,5,3,1,0,1,1,Amazon Echo
494,Dishwasher,1,3,0,4,26,0,Maytag
495,Thermostat,1,2,1,3,10,1,Schneider Electric
496,Washing Machine,7,2,0,2,35,0,Siemens
497,Washing Machine,2,8,1,3,13,0,Samsung
498,Air Conditioner,7,2,1,0,6,1,Mitsubishi Electric
499,Fan,4,0,0,4,43,0,Havells
500,Washing Machine,1,6,0,3,6,0,Samsung
501,Fridge,8,10,1,0,35,1,Samsung
502,Dishwasher,2,3,0,1,16,0,KitchenAid
503,Thermostat,7,1,1,3,41,1,Tado
504,Dishwasher,1,6,0,1,8,0,Maytag
505,Dishwasher,7,9,1,1,59,0,GE Appliances
507,Induction,4,6,1,2,5,1,Kenmore
508,Air Conditioner,6,3,0,4,21,0,Panasonic
509,Dishwasher,7,5,1,0,31,1,Bosch
510,Microwave,7,1,0,3,14,0,GE Appliances
511,Fan,7,7,1,4,37,0,Khaitan Electricals
512,Dishwasher,7,7,0,2,19,0,Bosch
513,Thermostat,2,10,0,0,37,0,Honeywell
514,Microwave,2,3,1,2,53,0,IFB
515,Fridge,2,0,0,3,20,0,Bosch
516,Lights,3,6,0,0,52,0,Crompton
517,Thermostat,3,7,1,3,2,1,Tado
518,Fan,4,8,1,4,57,0,Orient Electric
519,Fridge,1,2,1,4,7,1,Haier
520,Smart Speaker,6,3,1,2,33,1,Ultimate Ears
521,Dishwasher,1,5,0,2,53,0,Maytag
522,Smart Speaker,3,3,0,4,50,0,Amazon Echo
523,Air Conditioner,4,9,0,1,42,0,Fujitsu
524,Induction,6,5,1,4,6,1,Whirlpool
525,Smart Speaker,6,8,0,0,7,0,JBL
526,Induction,5,6,0,3,44,0,Samsung
527,Vacuum Cleaner,1,8,1,4,18,0,Dyson
528,Induction,4,3,0,4,43,0,Whirlpool
529,Dishwasher,1,8,0,3,54,0,Maytag
530,Induction,3,3,1,3,29,1,Whirlpool
531,Lights,3,6,0,0,19,0,Wipro Lighting
533,Air Conditioner,2,5,1,2,4,1,Gree
534,Security System,8,3,0,4,51,0,Top Notch Infotronix
535,Fan,8,3,0,3,13,0,Usha
536,Security System,3,10,0,0,32,0,CP Plus
537,Microwave,1,2,1,3,27,1,Morphy Richards
538,Lights,2,8,1,4,51,0,Bajaj Electricals
539,Dishwasher,3,10,0,1,34,0,Samsung
540,Air Conditioner,8,0,0,3,28,0,Panasonic
541,Washing Machine,1,7,1,2,9,0,Panasonic
542,Microwave,6,3,0,4,8,0,LG Electronics
543,Thermostat,1,1,0,0,21,0,Tado
544,Dishwasher,8,4,1,4,46,1,KitchenAid
545,Air Conditioner,3,9,0,1,30,0,Trane
546,Washing Machine,6,0,0,0,29,1,Haier
547,Air Conditioner,3,6,0,1,9,0,Carrier
